classifier_name,dataset_name,accuracy
7,InsectEPGRegularTrain,1
7,InsectEPGSmallTrain,0.991967871
7,InsectWingbeatSound,0.675252525
7,ItalyPowerDemand,0.965986395
7,LargeKitchenAppliances,0.856
7,Lightning2,0.737704918
7,Lightning7,0.794520548
7,Mallat,0.939872068
7,Meat,0.966666667
7,MedicalImages,0.8
7,MelbournePedestrian,0.958179582
7,MiddlePhalanxOutlineAgeGroup,0.597402597
7,MiddlePhalanxOutlineCorrect,0.852233677
7,MiddlePhalanxTW,0.545454545
7,MixedShapesRegularTrain,0.972783505
7,MixedShapesSmallTrain,0.95257732
7,MoteStrain,0.930511182
7,NonInvasiveFetalECGThorax1,0.945547074
7,NonInvasiveFetalECGThorax2,0.962849873
7,OSULeaf,0.954545455
7,OliveOil,0.933333333
7,PLAID,0.940409683
7,PhalangesOutlinesCorrect,0.826340326
7,Phoneme,0.289556962
7,PickupGestureWiimoteZ,0.86
7,PigAirwayPressure,0.850961538
7,PigArtPressure,0.985576923
7,PigCVP,0.956730769
7,Plane,1
7,PowerCons,0.988888889
7,ProximalPhalanxOutlineAgeGroup,0.853658537
7,ProximalPhalanxOutlineCorrect,0.910652921
7,ProximalPhalanxTW,0.804878049
7,RefrigerationDevices,0.496
7,Rock,0.84
7,ScreenType,0.48
7,SemgHandGenderCh2,0.893333333
7,SemgHandMovementCh2,0.693333333
7,SemgHandSubjectCh2,0.88
7,ShakeGestureWiimoteZ,0.9
7,ShapeletSim,1
7,ShapesAll,0.918333333
7,SmallKitchenAppliances,0.829333333
7,SmoothSubspace,0.94
7,SonyAIBORobotSurface1,0.896838602
7,SonyAIBORobotSurface2,0.907660021
7,StarLightCurves,0.980937348
7,Strawberry,0.981081081
7,SwedishLeaf,0.96
7,Symbols,0.983919598
7,SyntheticControl,0.983333333
7,ToeSegmentation1,0.960526316
7,ToeSegmentation2,0.907692308
7,Trace,1
7,TwoLeadECG,0.998244074
7,TwoPatterns,0.9965
7,UMD,0.993055556
7,UWaveGestureLibraryAll,0.972640983
7,UWaveGestureLibraryX,0.844221106
7,UWaveGestureLibraryY,0.768844221
7,UWaveGestureLibraryZ,0.799274149
7,Wafer,0.999188838
7,Wine,0.851851852
7,WordSynonyms,0.760188088
7,Worms,0.74025974
7,WormsTwoClass,0.805194805
7,Yoga,0.906666667
9{3},ACSF1,0.92
9{3},Adiac,0.828644501
9{3},AllGestureWiimoteX,0.694285714
9{3},AllGestureWiimoteY,0.722857143
9{3},AllGestureWiimoteZ,0.687142857
9{3},ArrowHead,0.851428571
9{3},BME,1
9{3},Beef,0.866666667
9{3},BeetleFly,0.9
9{3},BirdChicken,0.9
9{3},CBF,0.738461538
9{3},Car,0.623076923
9{3},Chinatown,0.453846154
9{3},ChlorineConcentration,0.771354167
9{3},CinCECGTorso,0.860869565
9{3},Coffee,1
9{3},Computers,0.724
9{3},CricketX,0.623076923
9{3},CricketY,0.623076923
9{3},CricketZ,0.833333333
9{3},Crop,0.753690476
9{3},DiatomSizeReduction,1
9{3},DistalPhalanxOutlineAgeGroup,0.755395683
9{3},DistalPhalanxOutlineCorrect,0.623076923
9{3},DistalPhalanxTW,0.690647482
9{3},DodgerLoopDay,1
9{3},DodgerLoopGame,0.862318841
9{3},DodgerLoopWeekend,0.985507246
9{3},ECG200,0.92
9{3},ECG5000,0.945777778
9{3},ECGFiveDays,1
9{3},EOGHorizontalSignal,0.607734807
9{3},EOGVerticalSignal,0.8977
9{3},Earthquakes,0.748201439
9{3},ElectricDevices,0.623076923
9{3},EthanolLevel,0.612
9{3},FaceAll,0.804733728
9{3},FaceFour,0.896
9{3},FacesUCR,0.84
9{3},FiftyWords,0.8878364
9{3},Fish,1
9{3},FordA,0.693333333
9{3},FordB,0.88
9{3},FreezerRegularTrain,0.999649123
9{3},FreezerSmallTrain,0.964912281
9{3},Fungi,1
9{3},GestureMidAirD1,0.738461538
9{3},GestureMidAirD2,0.623076923
9{3},GestureMidAirD3,0.453846154
9{3},GesturePebbleZ1,0.906976744
9{3},GesturePebbleZ2,0.841772152
9{3},GunPoint,0.993333333
9{3},GunPointAgeSpan,0.993670886
9{3},GunPointMaleVersusFemale,1
